chunk_size,chunk_overlap,overlap_ratio,stage1_k,top_k_reranked,num_chunks,avg_correctness,avg_relevance,avg_latency_ms,build_time_s,combined_score
800,320,0.4,50,10,683,5.0,5.0,11119.534659385681,5.647815942764282,5.0
800,160,0.2,50,10,672,5.0,5.0,13447.64575958252,6.534430027008057,5.0
200,80,0.4,50,10,2638,5.0,5.0,5110.974478721619,13.620026111602783,5.0
800,160,0.2,50,3,672,5.0,5.0,12009.182596206665,5.74581503868103,5.0
800,160,0.2,30,10,672,5.0,5.0,6558.8250160217285,5.589433908462524,5.0
400,80,0.2,20,10,1272,5.0,5.0,3903.359270095825,9.603255033493042,5.0
600,120,0.2,50,5,859,5.0,5.0,8934.968185424805,6.595242023468018,5.0
800,160,0.2,30,3,672,5.0,5.0,7031.577444076538,6.583600759506226,5.0
800,160,0.2,20,5,672,5.0,5.0,5030.266308784485,5.023732900619507,5.0
400,80,0.2,50,10,1272,5.0,5.0,8547.840881347656,8.205430746078491,5.0
600,240,0.4,50,3,895,5.0,5.0,9757.951641082764,5.97450590133667,5.0
600,240,0.4,30,5,895,5.0,5.0,6016.077470779419,5.491612911224365,5.0
600,240,0.4,20,10,895,5.0,5.0,4175.876331329346,6.552059173583984,5.0
400,120,0.3,50,5,1304,5.0,5.0,7530.997538566589,9.470494985580444,5.0
400,120,0.3,50,10,1304,5.0,5.0,6402.959394454956,8.654415130615234,5.0
400,160,0.4,20,5,1355,5.0,5.0,3490.5871152877808,9.129374265670776,5.0
600,180,0.3,50,10,875,5.0,5.0,9410.603260993958,5.766329050064087,5.0
400,160,0.4,30,10,1355,5.0,5.0,4895.562505722046,8.470349073410034,5.0
600,180,0.3,30,5,875,5.0,5.0,5545.143747329712,5.596498966217041,5.0
400,160,0.4,50,10,1355,5.0,5.0,7889.521265029907,11.32387089729309,5.0
600,120,0.2,20,5,859,5.0,5.0,4643.839454650879,5.433377027511597,5.0
600,120,0.2,30,3,859,5.0,5.0,6650.00159740448,5.862334966659546,5.0
600,180,0.3,20,5,875,5.0,5.0,4583.875274658203,6.031653165817261,5.0
800,160,0.2,50,5,672,5.0,5.0,11884.905624389648,5.915564775466919,5.0
800,160,0.2,30,5,672,5.0,5.0,6872.806978225708,5.227198123931885,5.0
200,60,0.3,20,10,2589,5.0,5.0,2590.219306945801,13.60421872138977,5.0
800,240,0.3,50,3,679,5.0,5.0,14658.10101032257,6.275408744812012,5.0
800,320,0.4,50,5,683,5.0,5.0,10863.323020935059,11.55833911895752,5.0
200,40,0.2,30,10,2563,5.0,5.0,4608.264446258545,15.411674976348877,5.0
800,320,0.4,30,5,683,5.0,5.0,7465.942811965942,5.601391077041626,5.0
800,320,0.4,30,3,683,5.0,5.0,8188.543581962585,5.42884087562561,5.0
800,320,0.4,20,10,683,5.0,5.0,6145.817518234253,5.327532052993774,5.0
